,Enderecos,urls
30,"Maxprize Marcenaria
4,8
(52) · Moveleiro
Mais de 5 anos no mercado · R. Benedito Campos Morais, 118 · (11) 4563-2205
Fechado ⋅ Abre às 08:30
""Obrigado Maxprize e equipe""","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=40&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAO"
31,"Marcenaria Arte Moda
4,6
(12) · Loja de marcenaria
Rua Muniz de Sousa, 150 · (11) 3277-5387
Fechado ⋅ Abre às 08:00
""Marcenaria como essa não ha igual!""","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=40&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAO"
32,"Marcenaria Decormoveis
4,4
(7) · Marceneiro
R. Silvânia, 127
Fechado ⋅ Abre às 08:00
""Recomendo a Marcenaria Decor.""","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=40&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAO"
33,"Marcenaria Koziplac - Vila Mariana
4,8
(16) · Loja de marcenaria
Av. Lins de Vasconcelos, 2717 · (11) 2924-9577
Fechado ⋅ Abre às 09:00","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=40&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAO"
34,"Art Copa Marcenaria
4,6
(9) · Moveleiro
Mais de 10 anos no mercado · R. do Grito, 306 · (11) 2063-6391
Fechado ⋅ Abre às 08:00
Serviços no local·
Estimativas on-line","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=40&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAO"
35,"Marcenaria Marselha
4,2
(5) · Marceneiro
Mais de 7 anos no mercado · R. Cangati, 113 · (11) 3714-4681
Fechado ⋅ Abre às 08:00
Serviços no local·
Agendamento on-line","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=40&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAO"
36,"Madefran Marcenaria
5,0
(19) · Loja de marcenaria
R. Barão do Triunfo, 612 · (11) 4328-1000
Fechado ⋅ Abre às 08:00","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=40&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAO"
37,"Alto Padrão Marcenaria
4,8
(6) · Marceneiro
Mais de 7 anos no mercado · Embu das Artes - SP · (11) 4782-0678
Fechado ⋅ Abre às 08:00","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=40&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAO"
38,"Marcenaria SGS
4,2
(5) · Carpintaria
Mais de 7 anos no mercado · R. Dutra Rodrigues, 188 · (11) 3313-7998
Fechado ⋅ Abre às 08:00","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=40&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAO"
39,"Marcenaria Vila Mariana
3,3
(10) · Marceneiro
Mais de 5 anos no mercado · R. Rio Grande, 799 · (11) 5082-4967","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=40&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAO"
